2020-11-30;104,35
2020-12-31;104,7
2021-01-31;104,88
2021-02-28;105,1
2021-03-31;106,09
2021-04-30;106,69
2021-05-31;106,97
2021-06-30;107,26
2021-07-31;107,16
2021-08-31;107,54
2021-09-30;108,06
2021-10-31;108,99
2021-11-30;109,49
2021-12-31;109,97
2022-01-31;110,3
2022-02-28;111,35
2022-03-31;114,12
2022-04-30;114,78
2022-05-31;115,74
2022-06-30;116,7
2022-07-31;116,83
2022-08-31;117,55
2022-09-30;118,99
2022-10-31;120,79
2022-11-30;120,7
2022-12-31;120,24
2023-01-31;119,96
2023-02-28;120,94
2023-03-31;122
2023-04-30;122,79
2023-05-31;122,81
2023-06-30;123,11
2023-07-31;122,98
2023-08-31;123,66
2023-09-30;124,06
2023-10-31;124,17
2023-11-30;123,46
2023-12-31;123,66
2024-01-31;123,16
2024-02-29;123,91
2024-03-31;124,85
2024-04-30;125,57
2024-05-31;125,84
2024-06-30;126,07
2024-07-31;126,01
2024-08-31;126,18
2024-09-30;126,05
2024-10-31;126,47
2024-11-30;126,05
2024-12-31;126,5
2025-01-31;126,11
2025-02-28;126,65
2025-03-31;127,43
2025-04-30 ; 128.16
2025-05-31 ; 128.08
2025-06-30 ; 128.47
2025-07-31 ; 128.49
2025-08-29 ; 128.68
2025-09-30 ; 128.80
2025-10-31 ; 129.07
